ID,MAIN_NAME,SUB_NAME,DETAIL_NAME,FULL_ADDR
232,서울특별시,마포구,성산2동,서울특별시 마포구 성산2동
233,서울특별시,마포구,상암동,서울특별시 마포구 상암동
234,서울특별시,마포구,도화동,서울특별시 마포구 도화동
235,서울특별시,마포구,서강동,서울특별시 마포구 서강동
236,서울특별시,마포구,공덕동,서울특별시 마포구 공덕동
237,서울특별시,마포구,아현동,서울특별시 마포구 아현동
238,서울특별시,양천구,,서울특별시 양천구 
239,서울특별시,양천구,목1동,서울특별시 양천구 목1동
240,서울특별시,양천구,목2동,서울특별시 양천구 목2동
241,서울특별시,양천구,목3동,서울특별시 양천구 목3동
242,서울특별시,양천구,목4동,서울특별시 양천구 목4동
243,서울특별시,양천구,신월1동,서울특별시 양천구 신월1동
244,서울특별시,양천구,신월2동,서울특별시 양천구 신월2동
245,서울특별시,양천구,신월3동,서울특별시 양천구 신월3동
246,서울특별시,양천구,신월4동,서울특별시 양천구 신월4동
247,서울특별시,양천구,신월5동,서울특별시 양천구 신월5동
248,서울특별시,양천구,신월6동,서울특별시 양천구 신월6동
249,서울특별시,양천구,신월7동,서울특별시 양천구 신월7동
250,서울특별시,양천구,신정1동,서울특별시 양천구 신정1동
251,서울특별시,양천구,신정2동,서울특별시 양천구 신정2동
252,서울특별시,양천구,신정3동,서울특별시 양천구 신정3동
253,서울특별시,양천구,신정6동,서울특별시 양천구 신정6동
254,서울특별시,양천구,신정7동,서울특별시 양천구 신정7동
255,서울특별시,양천구,목5동,서울특별시 양천구 목5동
256,서울특별시,양천구,신정4동,서울특별시 양천구 신정4동
257,서울특별시,강서구,,서울특별시 강서구 
258,서울특별시,강서구,염창동,서울특별시 강서구 염창동
259,서울특별시,강서구,등촌1동,서울특별시 강서구 등촌1동
260,서울특별시,강서구,등촌2동,서울특별시 강서구 등촌2동
261,서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동
262,서울특별시,강서구,화곡본동,서울특별시 강서구 화곡본동
263,서울특별시,강서구,화곡2동,서울특별시 강서구 화곡2동
264,서울특별시,강서구,화곡3동,서울특별시 강서구 화곡3동
265,서울특별시,강서구,화곡4동,서울특별시 강서구 화곡4동
266,서울특별시,강서구,화곡6동,서울특별시 강서구 화곡6동
267,서울특별시,강서구,화곡8동,서울특별시 강서구 화곡8동
268,서울특별시,강서구,가양1동,서울특별시 강서구 가양1동
269,서울특별시,강서구,가양2동,서울특별시 강서구 가양2동
270,서울특별시,강서구,가양3동,서울특별시 강서구 가양3동
271,서울특별시,강서구,발산1동,서울특별시 강서구 발산1동
272,서울특별시,강서구,공항동,서울특별시 강서구 공항동
273,서울특별시,강서구,방화1동,서울특별시 강서구 방화1동
274,서울특별시,강서구,방화2동,서울특별시 강서구 방화2동
275,서울특별시,강서구,방화3동,서울특별시 강서구 방화3동
276,서울특별시,강서구,화곡1동,서울특별시 강서구 화곡1동
277,서울특별시,강서구,우장산동,서울특별시 강서구 우장산동
278,서울특별시,구로구,,서울특별시 구로구 
279,서울특별시,구로구,신도림동,서울특별시 구로구 신도림동
280,서울특별시,구로구,구로1동,서울특별시 구로구 구로1동
281,서울특별시,구로구,구로3동,서울특별시 구로구 구로3동
282,서울특별시,구로구,구로4동,서울특별시 구로구 구로4동
283,서울특별시,구로구,구로5동,서울특별시 구로구 구로5동
284,서울특별시,구로구,고척1동,서울특별시 구로구 고척1동
285,서울특별시,구로구,고척2동,서울특별시 구로구 고척2동
286,서울특별시,구로구,개봉2동,서울특별시 구로구 개봉2동
287,서울특별시,구로구,개봉3동,서울특별시 구로구 개봉3동
288,서울특별시,구로구,오류1동,서울특별시 구로구 오류1동
289,서울특별시,구로구,오류2동,서울특별시 구로구 오류2동
290,서울특별시,구로구,수궁동,서울특별시 구로구 수궁동
291,서울특별시,구로구,가리봉동,서울특별시 구로구 가리봉동
292,서울특별시,구로구,구로2동,서울특별시 구로구 구로2동
293,서울특별시,구로구,개봉1동,서울특별시 구로구 개봉1동
294,서울특별시,금천구,,서울특별시 금천구 
295,서울특별시,금천구,가산동,서울특별시 금천구 가산동
296,서울특별시,금천구,독산1동,서울특별시 금천구 독산1동
297,서울특별시,금천구,독산2동,서울특별시 금천구 독산2동
298,서울특별시,금천구,독산3동,서울특별시 금천구 독산3동
299,서울특별시,금천구,독산4동,서울특별시 금천구 독산4동
300,서울특별시,금천구,시흥1동,서울특별시 금천구 시흥1동
301,서울특별시,금천구,시흥2동,서울특별시 금천구 시흥2동
302,서울특별시,금천구,시흥3동,서울특별시 금천구 시흥3동
303,서울특별시,금천구,시흥4동,서울특별시 금천구 시흥4동
304,서울특별시,금천구,시흥5동,서울특별시 금천구 시흥5동
305,서울특별시,영등포구,,서울특별시 영등포구 
306,서울특별시,영등포구,여의동,서울특별시 영등포구 여의동
307,서울특별시,영등포구,당산1동,서울특별시 영등포구 당산1동
308,서울특별시,영등포구,당산2동,서울특별시 영등포구 당산2동
309,서울특별시,영등포구,양평1동,서울특별시 영등포구 양평1동
310,서울특별시,영등포구,양평2동,서울특별시 영등포구 양평2동
311,서울특별시,영등포구,신길1동,서울특별시 영등포구 신길1동
312,서울특별시,영등포구,신길3동,서울특별시 영등포구 신길3동
313,서울특별시,영등포구,신길4동,서울특별시 영등포구 신길4동
314,서울특별시,영등포구,신길5동,서울특별시 영등포구 신길5동
315,서울특별시,영등포구,신길6동,서울특별시 영등포구 신길6동
316,서울특별시,영등포구,신길7동,서울특별시 영등포구 신길7동
317,서울특별시,영등포구,대림1동,서울특별시 영등포구 대림1동
318,서울특별시,영등포구,대림2동,서울특별시 영등포구 대림2동
319,서울특별시,영등포구,대림3동,서울특별시 영등포구 대림3동
320,서울특별시,영등포구,영등포본동,서울특별시 영등포구 영등포본동
321,서울특별시,영등포구,영등포동,서울특별시 영등포구 영등포동
322,서울특별시,영등포구,도림동,서울특별시 영등포구 도림동
323,서울특별시,영등포구,문래동,서울특별시 영등포구 문래동
324,서울특별시,동작구,,서울특별시 동작구 
325,서울특별시,동작구,노량진2동,서울특별시 동작구 노량진2동
326,서울특별시,동작구,상도1동,서울특별시 동작구 상도1동
327,서울특별시,동작구,상도2동,서울특별시 동작구 상도2동
328,서울특별시,동작구,상도3동,서울특별시 동작구 상도3동
329,서울특별시,동작구,상도4동,서울특별시 동작구 상도4동
330,서울특별시,동작구,사당1동,서울특별시 동작구 사당1동
331,서울특별시,동작구,사당3동,서울특별시 동작구 사당3동
332,서울특별시,동작구,사당4동,서울특별시 동작구 사당4동
333,서울특별시,동작구,사당5동,서울특별시 동작구 사당5동
334,서울특별시,동작구,대방동,서울특별시 동작구 대방동
335,서울특별시,동작구,신대방1동,서울특별시 동작구 신대방1동
336,서울특별시,동작구,신대방2동,서울특별시 동작구 신대방2동
337,서울특별시,동작구,흑석동,서울특별시 동작구 흑석동
338,서울특별시,동작구,노량진1동,서울특별시 동작구 노량진1동
339,서울특별시,동작구,사당2동,서울특별시 동작구 사당2동
340,서울특별시,관악구,,서울특별시 관악구 
341,서울특별시,관악구,보라매동,서울특별시 관악구 보라매동
342,서울특별시,관악구,청림동,서울특별시 관악구 청림동
343,서울특별시,관악구,행운동,서울특별시 관악구 행운동
344,서울특별시,관악구,낙성대동,서울특별시 관악구 낙성대동
345,서울특별시,관악구,중앙동,서울특별시 관악구 중앙동
346,서울특별시,관악구,인헌동,서울특별시 관악구 인헌동
347,서울특별시,관악구,남현동,서울특별시 관악구 남현동
348,서울특별시,관악구,서원동,서울특별시 관악구 서원동
349,서울특별시,관악구,신원동,서울특별시 관악구 신원동
350,서울특별시,관악구,서림동,서울특별시 관악구 서림동
351,서울특별시,관악구,신사동,서울특별시 관악구 신사동
352,서울특별시,관악구,신림동,서울특별시 관악구 신림동
353,서울특별시,관악구,난향동,서울특별시 관악구 난향동
354,서울특별시,관악구,조원동,서울특별시 관악구 조원동
355,서울특별시,관악구,대학동,서울특별시 관악구 대학동
356,서울특별시,관악구,은천동,서울특별시 관악구 은천동
357,서울특별시,관악구,성현동,서울특별시 관악구 성현동
358,서울특별시,관악구,청룡동,서울특별시 관악구 청룡동
359,서울특별시,관악구,난곡동,서울특별시 관악구 난곡동
360,서울특별시,관악구,삼성동,서울특별시 관악구 삼성동
361,서울특별시,관악구,미성동,서울특별시 관악구 미성동
362,서울특별시,서초구,,서울특별시 서초구 
363,서울특별시,서초구,서초1동,서울특별시 서초구 서초1동
364,서울특별시,서초구,서초2동,서울특별시 서초구 서초2동
365,서울특별시,서초구,서초3동,서울특별시 서초구 서초3동
